,Education,Neuroticism (N-Score),Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Alcohol,Amphetamines,Amyl nitrites,Benzos,Caffeine,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methamphetamine,Magic Mushrooms,Nicotine,Semer,Inhalants/Volatiles,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Country_Australia,Country_Canada,Country_Ireland,Country_New Zealand,Country_Other,Country_UK,Country_USA,Ethnicity_1.90725,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Other,Ethnicity_White,Ethnicity_White-Asian,Ethnicity_White-Black
942,E,32,32.0,42,52,35,2,1,4,0,0,0,6,6,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
943,D,29,38.0,38,38,30,6,5,4,6,0,3,6,4,3,0,6,0,0,3,4,3,4,5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
944,F,55,30.0,47,41,29,7,5,6,2,3,6,6,5,0,0,2,0,3,3,2,5,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
945,D,40,40.0,29,41,47,1,0,2,2,0,5,6,5,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
946,F,51,27.0,46,44,30,6,4,5,1,0,1,6,6,1,0,4,0,0,4,1,0,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
947,G,42,40.0,49,40,37,3,7,6,2,0,3,6,6,2,0,3,2,2,3,6,0,4,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
948,E,25,42.0,57,47,41,9,10,3,3,0,0,4,5,3,0,3,0,0,3,3,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
949,E,40,41.0,48,41,40,8,8,5,5,0,3,5,4,3,0,5,0,3,3,5,3,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
950,G,46,33.0,46,41,29,5,8,5,0,0,0,6,5,0,0,0,0,0,0,0,0,3,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
951,E,49,34.0,44,42,36,2,2,0,0,0,0,5,4,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
952,F,53,36.0,46,33,20,8,9,4,5,2,4,5,5,4,2,3,4,0,3,0,4,2,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
953,G,25,36.0,42,44,45,2,3,5,6,1,2,6,0,1,1,0,1,0,5,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
954,F,23,38.0,47,51,50,2,2,6,0,5,0,6,6,3,0,6,0,6,3,1,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
955,E,33,50.0,46,35,54,3,8,5,0,0,0,5,6,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
956,G,36,41.0,55,50,37,5,4,5,0,0,1,6,6,0,0,0,0,0,0,0,6,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
957,E,35,35.0,51,55,39,3,5,5,6,0,1,6,4,1,1,2,1,0,0,1,2,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
958,F,39,46.0,53,45,40,8,10,5,3,5,0,5,6,3,0,5,0,4,3,3,0,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
959,E,32,42.0,57,48,33,6,7,5,3,0,5,6,5,3,3,0,5,0,0,2,3,2,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
960,E,42,26.0,46,44,42,4,9,5,3,2,5,6,5,3,5,4,6,0,0,2,5,3,6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
961,E,27,48.0,43,48,44,3,7,5,3,0,0,6,6,0,0,4,0,0,3,5,0,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
962,H,25,40.0,51,46,40,4,7,5,1,0,3,6,6,2,2,3,0,0,2,0,5,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
963,H,27,47.0,46,45,45,4,9,5,2,3,4,6,4,4,0,5,0,3,3,2,0,2,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
964,E,30,42.0,50,50,44,2,4,4,3,1,0,6,5,0,0,0,0,0,3,0,1,3,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
965,E,33,41.0,57,52,39,7,9,5,0,0,2,6,6,2,0,3,0,0,2,3,0,5,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
966,E,22,48.0,53,33,48,3,8,6,0,0,0,3,3,3,0,0,0,0,3,0,0,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
967,I,20,48.0,50,50,47,5,6,6,1,1,1,6,6,1,0,0,1,0,1,1,3,3,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
968,G,38,40.0,45,39,38,6,8,5,1,0,0,4,5,4,0,4,0,3,5,5,0,4,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
969,E,40,28.0,50,36,48,3,7,6,4,0,0,6,4,3,0,4,0,3,4,4,0,4,6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
970,E,50,31.0,38,44,38,2,7,6,0,0,2,6,4,4,0,4,0,3,0,3,3,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
971,E,20,53.0,54,52,46,2,10,6,2,0,0,6,5,0,0,3,0,0,3,3,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
972,E,48,40.0,53,35,36,5,10,5,0,0,0,2,4,0,0,3,0,0,2,3,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
973,H,18,40.0,50,48,47,5,4,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
974,E,30,47.0,51,47,42,3,4,0,2,0,3,6,6,0,0,3,0,0,6,0,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
975,H,30,49.0,37,53,39,7,9,5,4,2,2,6,6,5,0,5,0,0,2,3,0,3,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
976,E,48,32.0,43,42,47,2,5,6,1,1,4,6,6,3,2,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
977,I,42,41.0,51,39,40,2,3,4,1,2,2,5,6,2,1,3,0,1,2,1,1,2,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
978,E,40,39.0,47,38,45,3,6,4,0,0,4,4,5,5,3,3,0,0,0,3,5,3,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
979,E,46,47.0,38,37,34,6,9,6,6,3,4,6,6,6,0,4,0,0,6,0,6,0,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
980,G,42,39.0,57,31,49,5,9,5,1,0,6,6,6,3,3,0,3,1,0,1,6,1,6,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
981,E,34,39.0,54,49,41,6,10,6,3,0,3,6,5,2,0,3,0,0,2,4,5,3,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
982,E,34,42.0,54,40,35,5,9,5,3,3,0,6,4,3,0,4,0,0,2,0,0,4,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
983,F,43,34.0,41,40,44,6,6,5,6,0,6,6,3,3,0,3,6,0,2,4,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
984,E,52,44.0,49,34,25,7,9,4,0,0,4,6,4,2,2,3,0,0,3,2,4,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
985,E,46,29.0,49,43,35,2,6,4,3,0,6,5,6,5,0,6,0,0,3,0,4,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
986,G,28,40.0,47,36,40,7,9,5,6,0,4,6,4,3,5,3,2,1,3,1,5,1,6,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
987,E,52,36.0,56,44,39,6,9,6,4,2,6,6,5,4,3,2,6,0,3,0,4,2,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
988,E,39,51.0,48,38,28,8,10,5,4,5,3,6,6,3,0,4,0,0,5,0,4,5,6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
989,F,28,42.0,50,44,42,3,5,3,1,0,2,6,5,3,0,1,1,0,0,1,0,1,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
990,G,25,45.0,55,56,49,3,7,5,2,2,2,6,5,3,0,3,0,2,3,3,0,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
991,E,41,45.0,51,49,36,5,9,5,5,0,3,6,6,3,2,2,2,0,4,2,2,3,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
992,H,28,38.0,44,37,41,5,8,5,0,0,4,4,5,0,0,4,0,4,4,3,0,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
993,H,28,46.0,43,46,47,6,8,5,2,2,4,5,4,4,0,3,0,3,3,2,0,2,5,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
994,H,47,38.0,52,39,48,3,6,6,0,2,5,6,6,2,0,2,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
995,I,26,45.0,44,42,48,3,4,3,6,0,0,6,6,0,0,3,0,0,2,2,0,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
996,E,29,43.0,45,44,51,2,2,4,3,3,2,5,3,3,0,3,4,3,3,3,2,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
997,B,48,32.0,44,42,37,7,8,5,0,3,0,6,5,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
998,E,35,46.0,37,-27,35,7,10,5,6,1,5,5,4,3,0,3,4,0,6,2,0,2,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
999,E,32,41.0,47,46,47,1,2,4,1,0,1,6,6,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1000,E,55,27.0,44,33,44,1,4,3,0,0,0,6,5,0,0,0,0,0,0,5,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1001,D,53,23.0,38,40,17,3,2,5,0,0,3,6,2,0,0,0,0,4,3,0,3,0,5,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1002,D,44,29.0,33,43,29,7,9,5,3,0,6,6,4,0,3,0,0,0,6,0,4,0,6,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1003,D,53,33.0,52,44,35,2,4,3,0,0,0,4,6,0,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1004,E,35,41.0,56,49,42,4,7,4,0,0,0,4,5,0,0,0,0,0,3,0,3,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1005,H,42,31.0,42,40,33,3,5,6,6,2,2,4,6,1,0,1,0,0,3,2,0,2,6,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1006,D,48,46.0,49,41,40,5,7,5,6,0,4,4,3,0,0,4,0,5,5,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1007,G,29,40.0,46,43,45,0,4,6,0,1,3,4,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1008,E,30,49.0,57,51,36,4,10,6,0,0,3,6,6,2,0,4,0,0,3,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1009,E,53,31.0,49,38,31,4,2,6,6,0,6,5,5,3,3,0,2,0,6,2,6,2,6,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1010,E,42,42.0,47,44,41,4,8,5,4,0,6,6,6,3,0,3,0,4,3,3,3,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1011,E,28,53.0,52,46,37,8,10,5,3,0,3,6,4,3,3,3,2,3,6,3,2,5,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1012,G,25,44.0,59,48,50,1,6,1,6,1,6,6,6,1,1,5,1,0,6,1,6,2,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1013,F,18,55.0,57,44,52,4,8,6,0,0,0,6,4,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1014,E,39,20.0,40,32,22,6,6,6,4,0,3,6,5,2,2,2,2,5,6,3,5,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1015,D,32,31.0,39,46,49,2,0,5,0,0,0,6,4,4,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1016,D,38,50.0,48,33,42,3,8,0,4,1,2,6,5,2,0,6,0,5,4,6,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1017,E,45,30.0,36,40,36,4,0,3,6,0,0,6,5,3,0,0,5,0,4,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1018,G,37,33.0,53,30,47,3,4,6,3,0,3,5,4,0,0,0,0,0,4,0,2,3,3,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1019,E,55,19.0,38,40,23,2,3,5,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1020,D,49,39.0,56,37,39,3,6,5,0,0,0,4,4,0,0,0,0,0,6,4,0,4,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1021,E,29,38.0,53,36,23,7,8,6,4,0,0,6,4,0,0,0,0,0,4,0,5,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1022,D,39,32.0,49,47,37,6,6,4,6,0,5,6,5,0,0,3,0,0,3,3,3,3,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1023,G,25,33.0,41,41,39,3,4,5,0,0,0,2,4,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1024,I,37,42.0,49,37,42,4,7,2,0,2,2,6,6,0,0,2,2,0,0,2,2,2,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1025,G,42,42.0,43,43,46,7,9,5,2,2,2,6,4,1,1,3,1,1,0,1,0,1,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1026,H,32,45.0,50,47,50,3,10,5,3,0,0,5,6,0,0,3,0,0,2,4,4,4,4,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1027,G,41,33.0,40,36,39,3,7,5,2,2,3,6,6,2,0,2,0,2,0,2,0,2,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1028,E,29,42.0,50,50,42,4,8,3,4,0,0,6,6,0,0,0,0,0,4,0,0,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1029,E,38,30.0,45,36,31,7,7,3,2,1,3,3,4,2,1,2,2,0,2,1,1,1,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1030,E,38,35.0,47,39,40,4,7,6,3,0,0,6,6,3,0,0,0,0,2,3,0,3,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1031,E,48,36.0,49,39,34,5,10,6,3,0,2,6,5,3,0,4,0,0,4,0,0,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1032,F,41,43.0,57,43,38,5,8,6,3,3,0,6,4,3,0,4,0,4,3,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1033,E,41,45.0,52,42,40,7,9,6,0,3,2,6,4,3,0,4,3,3,3,4,2,4,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1034,E,19,43.0,50,47,47,1,3,4,4,0,4,6,5,0,0,0,0,0,0,0,4,2,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1035,H,48,29.0,46,58,36,3,0,6,0,0,0,6,6,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1036,E,38,34.0,51,56,49,5,9,5,0,0,3,6,4,0,0,0,0,0,3,0,0,0,3,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1037,E,43,39.0,50,38,45,2,6,6,3,0,6,6,6,4,0,3,0,0,6,0,5,0,6,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1038,H,42,39.0,32,42,34,6,7,6,1,0,2,6,3,1,0,1,0,0,0,1,0,1,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1039,G,38,24.0,31,34,31,8,8,6,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1040,E,46,36.0,47,49,38,6,5,5,3,2,2,6,5,3,4,2,0,5,3,5,0,3,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1041,H,45,37.0,36,48,37,1,4,6,0,0,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1042,E,43,48.0,55,49,35,7,9,6,3,0,0,6,6,3,0,0,0,3,3,0,3,3,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1043,H,49,48.0,57,26,32,7,9,5,0,0,5,6,4,5,0,1,3,1,4,1,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1044,E,48,31.0,49,43,44,1,1,5,3,0,4,5,5,2,0,2,0,2,2,2,3,0,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1045,H,23,55.0,49,38,46,6,10,6,0,0,3,6,4,5,0,0,0,0,6,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1046,F,25,44.0,46,45,38,3,4,5,0,0,0,6,5,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1047,E,46,43.0,55,53,37,6,8,5,3,0,3,6,4,3,0,5,0,3,2,3,0,3,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1048,I,22,39.0,51,30,44,4,9,5,2,2,3,6,3,4,0,5,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1049,E,29,37.0,39,41,40,3,5,5,0,0,3,6,4,0,0,3,0,0,3,3,0,4,6,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1050,D,48,36.0,35,30,26,7,10,6,5,0,4,5,5,6,0,4,5,0,4,3,5,3,6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1051,E,40,36.0,49,41,39,3,5,5,0,0,2,4,4,2,0,2,0,0,2,2,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1052,B,28,48.0,56,39,46,4,7,6,2,2,4,5,5,2,0,4,0,4,3,6,0,3,6,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1053,E,38,39.0,51,47,51,1,2,4,2,2,3,5,4,2,2,2,0,0,2,0,2,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1054,D,39,31.0,38,31,31,4,7,4,5,0,3,5,5,2,0,0,0,0,6,1,2,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1055,G,43,32.0,37,40,39,5,7,5,4,0,4,6,3,0,0,0,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1056,E,30,39.0,51,49,40,2,7,5,0,0,0,6,5,0,0,3,0,0,5,5,3,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1057,H,30,40.0,56,47,48,1,4,5,1,1,0,2,6,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1058,D,33,44.0,36,44,47,7,6,2,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1059,G,48,52.0,56,42,38,7,9,5,0,0,3,5,6,0,0,0,0,0,0,4,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1060,E,21,39.0,52,33,45,3,6,5,2,0,2,4,5,2,2,4,0,0,0,3,0,3,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1061,H,29,44.0,56,47,46,3,9,5,4,3,3,6,6,2,0,2,0,0,3,3,0,4,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1062,E,13,43.0,54,50,33,6,8,4,0,0,0,4,5,0,0,0,0,0,3,4,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1063,C,48,35.0,50,45,52,1,1,5,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1064,G,30,35.0,29,41,40,0,2,3,0,0,0,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1065,D,21,46.0,46,43,35,6,6,6,0,0,0,5,4,0,0,6,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1066,I,27,40.0,53,55,54,1,5,6,0,0,0,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1067,H,35,30.0,43,42,50,3,2,6,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1068,H,40,40.0,48,39,43,6,6,5,0,0,0,6,6,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1069,E,31,37.0,53,44,31,3,8,5,0,2,0,6,5,2,0,2,0,0,2,0,0,0,6,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1070,H,51,29.0,45,45,39,2,1,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1071,I,29,42.0,46,41,51,1,1,5,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1072,D,39,35.0,43,40,41,4,8,6,0,1,0,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1073,C,27,36.0,51,51,40,2,5,3,0,0,0,5,4,0,0,0,0,0,4,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1074,F,40,40.0,39,44,41,1,2,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1075,G,53,26.0,57,37,44,4,10,3,1,1,2,6,6,0,0,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1076,F,22,46.0,44,40,44,3,1,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
